artist name,average number of tracks per album
Ed Sheeran,9.882352941176471
The Weeknd,15.636363636363637
Billie Eilish,3.090909090909091
Justin Bieber,15.384615384615385
Taylor Swift,21.9375
Drake,17.75
Eminem,21.11111111111111
Post Malone,6.157894736842105
Kanye West,15.357142857142858
Juice WRLD,9.692307692307692
